article_sku;category_name;foreign_key_sql
5417683805;Mens Swimwear;(SELECT uuid FROM subcategory WHERE category_name='Mens Swimwear')
37684787;All Toothpaste;(SELECT uuid FROM subcategory WHERE category_name='All Toothpaste')
5540168677;Maternity Shorts;(SELECT uuid FROM subcategory WHERE category_name='Maternity Shorts')
103296377;Bed Skirts;(SELECT uuid FROM subcategory WHERE category_name='Bed Skirts')
867257068;Bed Skirts;(SELECT uuid FROM subcategory WHERE category_name='Bed Skirts')
3272052424;Womens One-piece Swimsuits;(SELECT uuid FROM subcategory WHERE category_name='Womens One-piece Swimsuits')
799517514;Bed Skirts;(SELECT uuid FROM subcategory WHERE category_name='Bed Skirts')
907995515;Womens Workwear Blouses;(SELECT uuid FROM subcategory WHERE category_name='Womens Workwear Blouses')
2116483962;Tshirts for Women;(SELECT uuid FROM subcategory WHERE category_name='Tshirts for Women')
142456486;Baby Girls Clothing;(SELECT uuid FROM subcategory WHERE category_name='Baby Girls Clothing')
252142487;Mens Pants;(SELECT uuid FROM subcategory WHERE category_name='Mens Pants')
294549868;Plus Size Tops;(SELECT uuid FROM subcategory WHERE category_name='Plus Size Tops')
662186228;Bed Sheets;(SELECT uuid FROM subcategory WHERE category_name='Bed Sheets')
375528680;Bed Sheets;(SELECT uuid FROM subcategory WHERE category_name='Bed Sheets')
5186308981;Womens Blouses;(SELECT uuid FROM subcategory WHERE category_name='Womens Blouses')
5154791062;Womens Tops;(SELECT uuid FROM subcategory WHERE category_name='Womens Tops')
1979723992;Mens Swimwear;(SELECT uuid FROM subcategory WHERE category_name='Mens Swimwear')
736890330;Mens Pants;(SELECT uuid FROM subcategory WHERE category_name='Mens Pants')
917659884;Bed Sheets;(SELECT uuid FROM subcategory WHERE category_name='Bed Sheets')
937072834;Mens Workout Shirts;(SELECT uuid FROM subcategory WHERE category_name='Mens Workout Shirts')
794674247;Gender Neutral Newborn Baby Clothing;(SELECT uuid FROM subcategory WHERE category_name='Gender Neutral Newborn Baby Clothing')
3100329946;Womens Skirts;(SELECT uuid FROM subcategory WHERE category_name='Womens Skirts')
178455834;Bath Towels;(SELECT uuid FROM subcategory WHERE category_name='Bath Towels')
1329196784;Mens Casual Button Down Shirts;(SELECT uuid FROM subcategory WHERE category_name='Mens Casual Button Down Shirts')
557526814;Womens Booties;(SELECT uuid FROM subcategory WHERE category_name='Womens Booties')
5397071399;Boys Outfit Sets;(SELECT uuid FROM subcategory WHERE category_name='Boys Outfit Sets')
531529503;Workout Leggings;(SELECT uuid FROM subcategory WHERE category_name='Workout Leggings')
907847604;Womens Activewear;(SELECT uuid FROM subcategory WHERE category_name='Womens Activewear')
182579201;Womens Workwear Blouses;(SELECT uuid FROM subcategory WHERE category_name='Womens Workwear Blouses')
864008591;Table Runners;(SELECT uuid FROM subcategory WHERE category_name='Table Runners')
667101829;Mens Safety Shoes;(SELECT uuid FROM subcategory WHERE category_name='Mens Safety Shoes')
